dialogue_id,intra_dialogue_id,target,question,answer,candidates,candidates_scores,p_distribuition
2,0,zebra,Is your item a bird?,No.,"[{'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}]","{'otter': 6.666666666666664, 'walrus': 6.666666666666664, 'bear': 6.666666666666664}","{'otter': 0.3333, 'walrus': 0.3333, 'bear': 0.3333}"
2,1,zebra,Is your item a mammal?,Yes.,"[{'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'zebra', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'zebra', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}]","{'otter': 6.499999999999998, 'walrus': 6.499999999999998, 'bear': 6.499999999999998, 'zebra': 0.5}","{'otter': 0.325, 'walrus': 0.325, 'bear': 0.325, 'zebra': 0.025}"
2,2,zebra,Is your item a marine mammal?,No.,"[{'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}]","{'otter': 10.0, 'bear': 10.0}","{'otter': 0.5, 'bear': 0.5}"
2,3,zebra,Is your item a land mammal?,Yes.,"[{'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'walrus', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}]","{'otter': 8.666666666666666, 'walrus': 2.6666666666666665, 'bear': 8.666666666666666}","{'otter': 0.4333, 'walrus': 0.1333, 'bear': 0.4333}"
2,4,zebra,Is your item a carnivore?,Yes.,"[{'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'bear'}, {'otter', 'bear'}, {'otter', 'bear'}, {'bear'}, {'otter', 'bear'}, {'otter', 'bear'}]","{'bear': 12.5, 'otter': 7.5}","{'bear': 0.625, 'otter': 0.375}"
2,5,zebra,Is your item a large carnivore?,Yes.,"[{'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}, {'bear'}]",{'bear': 20.0},{'bear': 1.0}
2,6,zebra,Is your item a bear?,No.,"[{'bear'}, {'walrus'}, {'vulture'}, {'vulture'}, {'chickadee', 'otter', 'walrus', 'zebra', 'finch', 'pelican', 'vulture'}, {'walrus'}, {'lion'}, {'walrus'}, {'lion'}, {'chickadee', 'otter', 'walrus', 'zebra', 'finch', 'pelican', 'vulture'}, {'lion', 'tiger', 'wolf'}, {'vulture'}, {'lion'}, {'lion'}, {'chickadee', 'otter', 'walrus', 'zebra', 'finch', 'pelican', 'vulture'}, {'otter'}, {'otter'}, {'lion'}, {'walrus'}, {'walrus'}]","{'bear': 1.0, 'walrus': 5.428571428571429, 'vulture': 3.4285714285714284, 'chickadee': 0.42857142857142855, 'otter': 2.428571428571429, 'zebra': 0.42857142857142855, 'finch': 0.42857142857142855, 'pelican': 0.42857142857142855, 'lion': 5.333333333333334, 'tiger': 0.3333333333333333, 'wolf': 0.3333333333333333}","{'bear': 0.05, 'walrus': 0.2714, 'vulture': 0.1714, 'chickadee': 0.0214, 'otter': 0.1214, 'zebra': 0.0214, 'finch': 0.0214, 'pelican': 0.0214, 'lion': 0.2667, 'tiger': 0.0167, 'wolf': 0.0167}"
2,7,zebra,Is your item a walrus?,No.,"[{'otter'}, {'otter'}, {'otter'}, {'otter'}, {'bear'}, {'otter'}, {'bear'}, {'lion', 'tiger'}, {'otter'}, {'bear'}, {'otter'}, {'otter'}, {'otter'}, {'otter', 'vulture'}, {'otter'}, {'otter'}, {'otter'}, {'vulture'}, {'otter'}, {'otter'}]","{'otter': 14.5, 'bear': 3.0, 'lion': 0.5, 'tiger': 0.5, 'vulture': 1.5}","{'otter': 0.725, 'bear': 0.15, 'lion': 0.025, 'tiger': 0.025, 'vulture': 0.075}"
2,8,zebra,Is your item an otter?,No.,"[{'vulture'}, {'vulture'}, {'chickadee', 'finch', 'vulture'}, {'vulture'}, {'vulture'}, {'bear'}, {'chickadee', 'finch', 'vulture'}, {'vulture'}, {'vulture'}, {'vulture'}, {'chickadee', 'finch', 'vulture'}, {'chickadee', 'finch', 'vulture'}, {'vulture'}, {'chickadee', 'finch', 'vulture'}, {'vulture'}, {'vulture'}, {'vulture'}, {'bear'}, {'zebra'}, {'vulture'}]","{'vulture': 13.666666666666668, 'chickadee': 1.6666666666666665, 'finch': 1.6666666666666665, 'bear': 2.0, 'zebra': 1.0}","{'vulture': 0.6833, 'chickadee': 0.0833, 'finch': 0.0833, 'bear': 0.1, 'zebra': 0.05}"
2,9,zebra,Is your item a vulture?,No.,"[{'chickadee', 'pelican', 'finch', 'zebra'}, {'chickadee', 'pelican', 'finch', 'zebra'}, {'otter'}, {'pelican', 'zebra'}, {'pelican', 'zebra'}, {'chickadee', 'pelican', 'finch', 'zebra'}, {'otter'}, {'chickadee', 'pelican', 'finch', 'zebra'}, {'otter'}, {'walrus', 'zebra', 'finch', 'bear', 'pelican', 'chickadee', 'otter', 'vulture'}, {'walrus', 'zebra', 'finch', 'bear', 'pelican', 'chickadee', 'otter', 'vulture'}, {'pelican', 'zebra'}, {'bear'}, {'pelican', 'zebra'}, {'otter'}, {'otter'}, {'otter'}, {'otter'}, {'chickadee', 'pelican', 'finch', 'zebra'}, {'zebra'}]","{'chickadee': 1.5, 'pelican': 3.5, 'finch': 1.5, 'zebra': 4.5, 'otter': 7.25, 'walrus': 0.25, 'bear': 1.25, 'vulture': 0.25}","{'chickadee': 0.075, 'pelican': 0.175, 'finch': 0.075, 'zebra': 0.225, 'otter': 0.3625, 'walrus': 0.0125, 'bear': 0.0625, 'vulture': 0.0125}"
2,10,zebra,Is your item a zebra?,Yes! That's correct.,"[{'zebra'}, {'pelican'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'bear'}, {'zebra'}, {'zebra'}, {'zebra'}, {'zebra'}, {'pelican'}, {'zebra'}, {'zebra'}, {'chickadee', 'pelican', 'finch'}, {'zebra'}]","{'zebra': 16.0, 'pelican': 2.3333333333333335, 'bear': 1.0, 'chickadee': 0.3333333333333333, 'finch': 0.3333333333333333}","{'zebra': 0.8, 'pelican': 0.1167, 'bear': 0.05, 'chickadee': 0.0167, 'finch': 0.0167}"
3,0,rooster,Is the item you are thinking of a bird?,Yes.,"[{'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}, {'peacock', 'turkey', 'budgie', 'rooster'}]","{'peacock': 5.0, 'turkey': 5.0, 'budgie': 5.0, 'rooster': 5.0}","{'peacock': 0.25, 'turkey': 0.25, 'budgie': 0.25, 'rooster': 0.25}"
3,1,rooster,Is the item you are thinking of a peacock?,No.,"[{'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'rooster', 'turkey', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'rooster', 'turkey', 'platypus', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'rooster', 'turkey', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'rooster', 'turkey', 'platypus', 'budgie'}, {'rooster', 'turkey', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}, {'beaver', 'rooster', 'platypus', 'turkey', 'deer', 'pig', 'budgie'}]","{'beaver': 2.1428571428571423, 'rooster': 3.6428571428571423, 'platypus': 2.6428571428571423, 'turkey': 3.6428571428571423, 'deer': 2.1428571428571423, 'pig': 2.1428571428571423, 'budgie': 3.6428571428571423}","{'beaver': 0.1071, 'rooster': 0.1821, 'platypus': 0.1321, 'turkey': 0.1821, 'deer': 0.1071, 'pig': 0.1071, 'budgie': 0.1821}"
3,2,rooster,Is the item you are thinking of a budgie?,No.,"[{'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'rooster', 'turkey'}, {'beaver', 'rooster', 'platypus', 'turkey', 'pig', 'deer'}, {'rooster', 'turkey'}]","{'rooster': 9.666666666666666, 'turkey': 9.666666666666666, 'beaver': 0.16666666666666666, 'platypus': 0.16666666666666666, 'pig': 0.16666666666666666, 'deer': 0.16666666666666666}","{'rooster': 0.4833, 'turkey': 0.4833, 'beaver': 0.0083, 'platypus': 0.0083, 'pig': 0.0083, 'deer': 0.0083}"
3,3,rooster,Is the item you are thinking of a rooster?,Yes! That's correct.,"[{'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}, {'rooster'}]",{'rooster': 20.0},{'rooster': 1.0}
4,0,owl,Is the item you have a bird?,Yes.,"[{'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle', 'pigeon'}]","{'falcon': 5.0, 'owl': 5.0, 'eagle': 5.0, 'pigeon': 5.0}","{'falcon': 0.25, 'owl': 0.25, 'eagle': 0.25, 'pigeon': 0.25}"
4,1,owl,Is the item you have a bird of prey?,Yes.,"[{'falcon', 'owl', 'eagle', 'pigeon'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}, {'falcon', 'owl', 'eagle'}]","{'falcon': 6.749999999999998, 'owl': 6.249999999999998, 'eagle': 6.749999999999998, 'pigeon': 0.25}","{'falcon': 0.3375, 'owl': 0.3125, 'eagle': 0.3375, 'pigeon': 0.0125}"
